"CENSUS2K_Code","CENSUS2K_Occupation_Title","BLS_Code","BLS_Occupation_Title","OMBSOC_Code","OMBSOC_Occupation_Title","ONET_Code","ONET_Occupation_Title","CIP_Code","CIP_Occupation_Title","NSSBIC_Code","NSSBIC_Occupation_Title","DOECC_Code","DOECC_Occupation_Title"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","44.0401","Public Administration",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","44.0501","Public Policy Analysis",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","44.9999","Public Administration & Services, Other",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","52.0101","Business/Commerce, General",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","52.0201","Business Administration/Management",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","52.0209","Transportation/Transportation Management  (New)",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","52.0701","Entrepreneurship/Entrepreneurial Studies",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.00","Chief Executives","52.1101","International Business/Trade/Commerce",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.01","Government Service Executives","44.0401","Public Administration",9,"Public Administration & Legal Services",7,"Government & Public Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.01","Government Service Executives","44.0501","Public Policy Analysis",9,"Public Administration & Legal Services",7,"Government & Public Administration"
